SOC,OCV
97.23743672,4.15913
97.23189515,4.15853
97.22635357,4.158435
97.220812,4.158824
97.21527043,4.158746
97.20990762,4.158504
97.19882447,4.158549
97.18774133,4.158143
97.18219975,4.158176
97.17665818,4.158357
97.17111661,4.15784
97.16003346,4.158186
97.15449189,4.158154
97.14895032,4.157271
97.14358751,4.15776
97.13804593,4.157822
97.13250436,4.157784
97.12696279,4.157612
97.12142122,4.157583
97.11587964,4.157821
97.11033807,4.157416
97.1047965,4.157542
97.09925493,4.157665
97.09371335,4.157456
97.08835054,4.157303
97.08280897,4.157128
97.0772674,4.15731
97.07172582,4.157281
97.06618425,4.157009
97.06064268,4.157012
97.05510111,4.156898
97.04401796,4.156578
97.03847639,4.156863
97.03311358,4.156913
97.027572,4.156672
97.01648886,4.156754
97.01094729,4.156631
97.00540571,4.156527
96.99986414,4.15633
96.99432257,4.156528
96.988781,4.156393
96.98323942,4.156341
96.97233504,4.156322
96.96125189,4.156034
96.95571032,4.155802
96.95016875,4.155955
96.94462718,4.156047
96.9390856,4.155664
96.93354403,4.155743
96.92246089,4.155645
96.91691931,4.155566
96.90583617,4.155622
96.90047336,4.155296
96.89493179,4.15545
96.88939021,4.155545
96.88384864,4.15533
96.87830707,4.15516
96.86722392,4.155323
96.85614078,4.155024
96.8505992,4.155014
96.84505763,4.154867
96.83951606,4.154741
96.83397449,4.154622
96.82843291,4.154738
96.82289134,4.154808
96.81752853,4.154438
96.81198696,4.154528
96.80090381,4.154464
96.79536224,4.154326
96.78982067,4.154495
96.7842791,4.154425
96.77319595,4.154057
96.7621128,4.154112
96.75657123,4.154017
96.74548809,4.154077
96.74012528,4.153976
96.7345837,4.153787
96.72904213,4.153766
96.72350056,4.153868
96.71795899,4.15377
96.71241741,4.153394
96.70687584,4.153618
96.70133427,4.153538
96.6957927,4.153375
96.69025112,4.15317
96.67916798,4.153449
96.67380517,4.153035
96.66826359,4.15317
96.66272202,4.153374
96.65718045,4.153172
96.65163888,4.152866
96.64055573,4.152993
96.63501416,4.15284
96.62947259,4.152628
96.62393101,4.152747
96.6185682,4.152748
96.61302663,4.152473
96.60748506,4.152371
96.60194348,4.152684
96.59640191,4.152348
96.58531877,4.152284
96.57423562,4.152344
96.56869405,4.151925
96.56315248,4.152117
96.55778966,4.152193
96.54670652,4.15182
96.53562337,4.152065
